Symbol,SECURITY_ID
PVP,4010
PVRINOX,13147
PVSL,23142
PYRAMID,18250
QPOWER,29711
QUADFUTURE,29087
QUESS,17704
QUICKHEAL,13116
RACLGEAR,27171
RADHIKAJWE,10343
RADIANTCMS,13580
RADICO,10990
RAILTEL,2431
RAIN,15337
RAINBOW,9408
RAJESHEXPO,7401
RAJRATAN,18962
RAJRILTD,8428
RALLIS,2816
RAMASTEEL,10300
RAMCOCEM,2043
RAMCOIND,4587
RAMCOSYS,7851
RAMKY,20134
RAMRAT,10485
RANEHOLDIN,2844
RATEGAIN,7177
RATNAMANI,13451
RATNAVEER,18423
RAYMOND,2859
RAYMONDLSL,25073
RBA,1494
RBL,16745
RBLBANK,18391
RBZJEWEL,20874
RCF,2866
RECLTD,15355
REDINGTON,14255
REDTAPE,17859
REFEX,17768
RELAXO,24225
RELIANCE,2885
RELIGARE,15068
RELINFRA,553
RELTD,24596
RENUKA,12026
REPCOHOME,29598
REPRO,13126
RESPONIND,20323
RGL,15129
RHIM,31163
RICOAUTO,2909
RIIL,2912
RISHABH,18417
RITCO,8944
RITES,3761
RKFORGE,11411
RKSWAMY,23043
RML,11975
ROHLTD,13182
ROLEXRINGS,5279
ROSSARI,19410
ROSSTECH,27365
ROTO,9049
ROUTE,128
RPEL,24735
RPGLIFE,16725
RPOWER,15259
RPPINFRA,20764
RPSGVENT,8119
RPTECH,22670
RRKABEL,18566
RSWM,2794
RSYSTEMS,13414
RTNINDIA,27297
RTNPOWER,17520
RUBYMILLS,2939
RUPA,25724
RUSHIL,24595
RUSTOMJEE,12219
RVNL,9552
SABTNL,23367
SADHNANIQ,15349
SAFARI,13035
SAGCEM,14068
SAGILITY,27052
SAIL,2963
SAILIFE,27839
SAKAR,9539
SAKSOFT,11794
SALASAR,21362
SALZERELEC,11399
SAMHI,18614
SAMMAANCAP,30125
SANATHAN,28805
SANDESH,2988
SANDHAR,2397
SANDUMA,18359
SANGAMIND,4184
SANGHIIND,2997
SANGHVIMOV,14058
SANOFI,1442
SANOFICONR,25222
SANSERA,5751
SANSTAR,24582
SAPPHIRE,6718
SARDAEN,17758
SAREGAMA,4892
SARLAPOLY,14047
SARVESHWAR,12913
SASKEN,11983
SASTASUNDR,20063
SATIA,11045
SATIN,10453
SATINDLTD,12015
SAURASHCEM,3018
SBCL,4656
SBFC,18026
SBICARD,17971
SBILIFE,21808
SBIN,3045
SCHAEFFLER,1011
SCHAND,20698
SCHNEIDER,31234
SCI,3048
SCILAL,23127
SDBL,1338
SEAMECLTD,2616
SELAN,13598
SENCO,17271
SENORES,28888
SEPC,15308
SEQUENT,14296
SERVOTECH,5507
SESHAPAPER,3066
SFL,19184
SGIL,5116
SGLTL,29075
SHAILY,8732
SHAKTIPUMP,25578
SHALBY,714
SHALPAINTS,15342
SHANKARA,20321
SHANTIGEAR,3078
SHARDACROP,4992
SHARDAMOTR,10530
SHAREINDIA,104
SHILPAMED,17752
SHIVALIK,7016
SHK,11212
SHOPERSTOP,11813
SHREDIGCEM,3099
SHREECEM,3103
SHREEPUSHK,10588
SHRIPISTON,17186
SHRIRAMFIN,4306
SHRIRAMPPS,7200
SHYAMMETL,4693
SICALLOG,19440
SIEMENS,3150
SIGACHI,6663
SIGNATURE,18743
SIGNPOST,22658
SILINV,4105
SILVERTUC,9422
SIMPLEXINF,3162
SINDHUTRAD,16859
SIRCA,11050
SIS,21501
SIYSIL,14096
SJS,6643
SJVN,18883
SKFINDIA,3186
SKIPPER,9428
SKYGOLD,13634
SMCGLOBAL,2320
SMLISUZU,3387
SMSPHARMA,14329
SNOWMAN,4843
SOBHA,13826
SOLARA,3672
SOLARINDS,13332
SOMANYCERA,3880
SONACOMS,4684
SONATSOFTW,6596
SOTL,3021
SOUTHBANK,5948
SPAL,18252
SPANDANA,11435
SPARC,14788
SPECIALITY,27107
SPENCERS,8163
SPIC,3252
SPLPETRO,9617
SPMLINFRA,7166
SPORTKING,10733
SREEL,31837
SRF,3273
SRHHYPOLTD,14582
SRM,23403
SSWL,11829
STALLION,29204
STANLEY,24226
STAR,7374
STARCEMENT,21091
STARHEALTH,7083
STCINDIA,10948
STEELCAS,6803
STEELXIND,21339
STEL,21484
STERTOOLS,4299
STLTECH,9309
STOVEKRAFT,2107
STYLAMIND,5186
STYLEBAAZA,25114
STYRENIX,19
SUBEXLTD,967
SUBROS,3324
SUDARSCHEM,3327
SUKHJITS,11804
SULA,13218
SUMICHEM,17105
SUMMITSEC,21275
SUNCLAY,20956
SUNDARMFIN,3339
SUNDARMHLD,2183
SUNDRMFAST,3345
SUNFLAG,7372
SUNPHARMA,3351
SUNTECK,17641
SUNTV,13404
SUPRAJIT,11689
SUPREMEIND,3363
SUPRIYA,7390
SURAJEST,20822
SURAJLTD,24966
SURAKSHA,27334
SURYAROSNI,3375
SURYODAY,2970
SUTLEJTEX,13804
SUVEN,11233
SUVENPHAR,17945
SUYOG,24851
SUZLON,12018
SWANENERGY,27095
SWARAJENG,3384
SWELECTES,11912
SWIGGY,27066
SWSOLAR,12489
SYMPHONY,24190
SYNCOMF,11992
SYNGENE,10243
SYRMA,10793
TAJGVK,9354
TALBROAUTO,13648
TANLA,13976
TARC,1581
TARIL,15174
TARSONS,6943
TASTYBITE,20092
TATACHEM,3405
TATACOMM,3721
TATACONSUM,3432
TATAELXSI,3411
TATAINVEST,1621
TATAMOTORS,3456
TATAPOWER,3426
TATASTEEL,3499
TATATECH,20293
TATVA,5162
TBOTEK,23740
TBZ,27037
TCI,10580
TCIEXP,19223
TCPLPACK,184
TCS,11536
TDPOWERSYS,25178
TEAMLEASE,12716
TECHM,13538
TECHNOE,6445
TEGA,7105
TEJASNET,21131
TEMBO,3280
TEXINFRA,11549
TEXRAIL,21828
TFCILTD,3466
THANGAMAYL,18118
THEINVEST,21427
THEJO,19279
THEMISMED,14485
THERMAX,3475
THOMASCOOK,3481
THYROCARE,17032
TI,19196
TIIL,14223
TIINDIA,312
TIL,3484
TIMETECHNO,14707
TIMKEN,14198
TIPSMUSIC,9117
TIRUMALCHM,3496
TITAGARH,15414
TITAN,3506
TMB,10945
TNPETRO,3509
TNPL,3980
TORNTPHARM,3518
TORNTPOWER,13786
TPLPLASTEH,9219
TRACXN,11582
TRANSRAILL,28714
TRANSWORLD,3129
TREL,17795
TRENT,1964
TRIDENT,9685
TRITURBINE,25584
TRIVENI,13081
TTKHLTCARE,11369
